"pincode","city","canton","canton_code","country","country_code"
1010,"Wien,Innere Stadt","","","Österreich","AT"
1020,"Wien,Leopoldstadt","","","Österreich","AT"
1030,"Wien,Landstraße","","","Österreich","AT"
1040,"Wien,Wieden","","","Österreich","AT"
1050,"Wien,Margareten","","","Österreich","AT"
1060,"Wien,Mariahilf","","","Österreich","AT"
1070,"Wien,Neubau","","","Österreich","AT"
1080,"Wien,Josefstadt","","","Österreich","AT"
1090,"Wien,Alsergrund","","","Österreich","AT"
1100,"Wien,Favoriten","","","Österreich","AT"
1100,"Wien,Wieden","","","Österreich","AT"
1110,"Wien,Simmering","","","Österreich","AT"
1120,"Wien,Meidling","","","Österreich","AT"
1120,"Wien,Liesing","","","Österreich","AT"
1130,"Wien,Hietzing","","","Österreich","AT"
1140,"Wien,Penzing","","","Österreich","AT"
1140,"Mauerbach","","","Österreich","AT"
1140,"Weidlingbach","","","Österreich","AT"
1140,"Purkersdorf","","","Österreich","AT"
1150,"Wien,Rudolfsheim-Fünfhaus","","","Österreich","AT"
1160,"Wien,Penzing","","","Österreich","AT"
1160,"Wien,Ottakring","","","Österreich","AT"
1170,"Wien,Hernals","","","Österreich","AT"
1170,"Weidlingbach","","","Österreich","AT"
1180,"Wien,Döbling","","","Österreich","AT"
1180,"Wien,Währing","","","Österreich","AT"
1190,"Wien,Döbling","","","Österreich","AT"
1190,"Weidling","","","Österreich","AT"
1200,"Wien,Brigittenau","","","Österreich","AT"
1210,"Wien,Floridsdorf","","","Österreich","AT"
1210,"Langenzersdorf","","","Österreich","AT"
1220,"Wien,Donaustadt","","","Österreich","AT"
1230,"Wien,Liesing","","","Österreich","AT"
1230,"Wien,Meidling","","","Österreich","AT"
1230,"Perchtoldsdorf","","","Österreich","AT"
1300,"Mannswörth","","","Österreich","AT"
2000,"Unterzögersdorf","","","Österreich","AT"
2000,"Zissersdorf","","","Österreich","AT"
2000,"Oberzögersdorf","","","Österreich","AT"
2000,"Oberolberndorf","","","Österreich","AT"
2000,"Stockerau","","","Österreich","AT"
2002,"Geitzendorf","","","Österreich","AT"
2002,"Großmugl","","","Österreich","AT"
2002,"Roseldorf","","","Österreich","AT"
2002,"Herzogbirbaum","","","Österreich","AT"
2002,"Füllersdorf","","","Österreich","AT"
2002,"Nursch","","","Österreich","AT"
2002,"Steinabrunn","","","Österreich","AT"
2002,"Ottendorf","","","Österreich","AT"
2002,"Ringendorf","","","Österreich","AT"
2003,"Wollmannsberg","","","Österreich","AT"
2003,"Leitzersdorf","","","Österreich","AT"
2003,"Stockerau","","","Österreich","AT"
2003,"Wiesen","","","Österreich","AT"
2003,"Haselbach","","","Österreich","AT"
2004,"Bruderndorf","","","Österreich","AT"
2004,"Niederhollabrunn","","","Österreich","AT"
2004,"Streitdorf","","","Österreich","AT"
2004,"Niederfellabrunn","","","Österreich","AT"
2011,"Unterhautzental","","","Österreich","AT"
2011,"Untermallebarn","","","Österreich","AT"
2011,"Hatzenbach","","","Österreich","AT"
